timestamp,username,followers
2026-05-05T20:04:40,jjeon_ki__,259
2026-05-05T20:04:40,narae_is_consulting,5800
2026-05-05T20:04:40,j_positioning,8700
2026-05-05T20:04:40,catch.job,8300
2026-05-05T20:04:40,interview__k,2500
2026-05-05T20:04:40,job_jin_coach,2900
2026-05-05T20:04:40,engineering.mentor,946
2026-05-05T20:04:40,allkill.binn,10500
2026-05-05T20:04:40,in_ba_hab,7500
2026-05-05T20:04:40,jobandkill,10400
2026-05-05T20:04:40,jasoseohero,3200
2026-05-05T20:04:40,harihari747474,3400
2026-05-05T20:04:40,allpass_everything,33400
2026-05-05T21:42:16,know.youngwoo,8400
2026-05-05T21:42:16,insateam_hr,41900
2026-05-05T21:42:16,choi.jihye.ceo,633
2026-05-05T21:42:16,edu_signal,21500
2026-05-05T21:42:16,chipguide,1000
2026-05-05T21:42:16,jasoseo_king,2800
2026-05-05T21:42:16,master_chopd,2800
2026-05-05T21:42:16,narae_is_consulting,5800
2026-05-05T21:42:16,catch.job,8300
2026-05-05T21:42:16,interview__k,2500
2026-05-05T21:42:16,job_jin_coach,2900
2026-05-05T21:42:16,engineering.mentor,946
2026-05-05T21:42:16,allkill.binn,10500
2026-05-05T21:42:16,in_ba_hab,7500
2026-05-05T21:42:16,jobandkill,10400
2026-05-05T21:42:16,jasoseohero,3200
2026-05-05T21:42:16,harihari747474,3400
2026-05-05T21:42:16,allpass_everything,33400
2026-05-05T23:36:36,know.youngwoo,8400
2026-05-05T23:36:36,insateam_hr,41900
2026-05-05T23:36:36,choi.jihye.ceo,633
2026-05-05T23:36:36,edu_signal,21600
2026-05-05T23:36:36,chipguide,1000
2026-05-05T23:36:36,jasoseo_king,2800
2026-05-05T23:36:36,master_chopd,2800
2026-05-05T23:36:36,narae_is_consulting,5800
2026-05-05T23:36:36,j_positioning,8700
2026-05-05T23:36:36,catch.job,8300
2026-05-05T23:36:36,job_jin_coach,2900
2026-05-05T23:36:36,engineering.mentor,946
2026-05-05T23:36:36,allkill.binn,10500
2026-05-05T23:36:36,in_ba_hab,7500
2026-05-05T23:36:36,jobandkill,10400
2026-05-05T23:36:36,jasoseohero,3200
2026-05-05T23:36:36,harihari747474,3400
2026-05-05T23:36:36,allpass_everything,33400
2026-05-06T09:41:43,know.youngwoo,8400
2026-05-06T09:41:43,insateam_hr,41900
2026-05-06T09:41:43,choi.jihye.ceo,637
2026-05-06T09:41:43,edu_signal,21700
2026-05-06T09:41:43,chipguide,1000
2026-05-06T09:41:43,jasoseo_king,2800
2026-05-06T09:41:43,master_chopd,2800
2026-05-06T09:41:43,jjeon_ki__,260
2026-05-06T09:41:43,narae_is_consulting,5800
2026-05-06T09:41:43,j_positioning,8700
2026-05-06T09:41:43,catch.job,8300
2026-05-06T09:41:43,interview__k,2500
2026-05-06T09:41:43,job_jin_coach,2900
2026-05-06T09:41:43,engineering.mentor,949
2026-05-06T09:41:43,allkill.binn,10500
2026-05-06T09:41:43,in_ba_hab,7500
2026-05-06T09:41:43,jobandkill,10400
2026-05-06T09:41:43,jasoseohero,3200
2026-05-06T09:41:43,harihari747474,3400
2026-05-06T09:41:43,allpass_everything,33400
2026-05-06T10:35:38,know.youngwoo,8404
2026-05-06T10:35:38,insateam_hr,41900
2026-05-06T10:35:38,choi.jihye.ceo,660
2026-05-06T10:35:38,edu_signal,21600
2026-05-06T10:35:38,chipguide,1047
2026-05-06T10:35:38,jasoseo_king,2820
2026-05-06T10:35:38,master_chopd,2832
2026-05-06T10:35:38,jjeon_ki__,262
2026-05-06T10:35:38,narae_is_consulting,5787
2026-05-06T10:35:38,j_positioning,8663
2026-05-06T10:35:38,catch.job,8311
2026-05-06T10:35:38,interview__k,2499
2026-05-06T10:35:38,job_jin_coach,2898
2026-05-06T10:35:38,engineering.mentor,956
2026-05-06T10:35:38,allkill.binn,10500
2026-05-06T10:35:38,in_ba_hab,7511
2026-05-06T10:35:38,jobandkill,10400
2026-05-06T10:35:38,jasoseohero,3160
2026-05-06T10:35:38,harihari747474,3355
2026-05-06T10:35:38,allpass_everything,33300
2026-05-06T10:56:24,know.youngwoo,8404
2026-05-06T10:56:24,insateam_hr,41900
2026-05-06T10:56:24,choi.jihye.ceo,659
2026-05-06T10:56:24,edu_signal,21600
2026-05-06T10:56:24,chipguide,1047
2026-05-06T10:56:24,jasoseo_king,2820
2026-05-06T10:56:24,master_chopd,2832
2026-05-06T10:56:24,jjeon_ki__,262
2026-05-06T10:56:24,narae_is_consulting,5787
2026-05-06T10:56:24,j_positioning,8663
2026-05-06T10:56:24,catch.job,8311
2026-05-06T10:56:24,interview__k,2499
2026-05-06T10:56:24,job_jin_coach,2898
2026-05-06T10:56:24,engineering.mentor,956
2026-05-06T10:56:24,allkill.binn,10500
2026-05-06T10:56:24,in_ba_hab,7510
2026-05-06T10:56:24,jobandkill,10400
2026-05-06T10:56:24,jasoseohero,3160
2026-05-06T10:56:24,harihari747474,3355
2026-05-06T10:56:24,allpass_everything,33300
2026-05-06T12:18:34,master_chopd,2832
2026-05-06T12:18:34,jjeon_ki__,262
2026-05-06T12:18:34,engineering.mentor,956
2026-05-06T16:13:13,know.youngwoo,8410
2026-05-06T16:13:13,insateam_hr,41900
2026-05-06T16:13:13,choi.jihye.ceo,660
2026-05-06T16:13:13,edu_signal,21700
2026-05-06T16:13:13,chipguide,1048
2026-05-06T16:13:13,jasoseo_king,2819
2026-05-06T16:13:13,master_chopd,2833
2026-05-06T16:13:13,jjeon_ki__,262
2026-05-06T16:13:13,narae_is_consulting,5788
2026-05-06T16:13:13,j_positioning,8662
2026-05-06T16:13:13,catch.job,8316
2026-05-06T16:13:13,interview__k,2499
2026-05-06T16:13:13,job_jin_coach,2898
2026-05-06T16:13:13,engineering.mentor,956
2026-05-06T16:13:13,allkill.binn,10500
2026-05-06T16:13:13,in_ba_hab,7510
2026-05-06T16:13:13,jobandkill,10400
2026-05-06T16:13:13,jasoseohero,3161
2026-05-06T16:13:13,harihari747474,3355
2026-05-06T16:13:13,allpass_everything,33300
2026-05-06T17:17:42,catch.job,8316
2026-05-06T17:17:42,jasoseohero,3162
2026-05-06T17:17:42,allpass_everything,33300
2026-05-06T20:14:53,know.youngwoo,8410
2026-05-06T20:14:53,insateam_hr,41900
2026-05-06T20:14:53,choi.jihye.ceo,660
2026-05-06T20:14:53,edu_signal,21700
2026-05-06T20:14:53,chipguide,1049
2026-05-06T20:14:53,jasoseo_king,2820
2026-05-06T20:14:53,master_chopd,2834
2026-05-06T20:14:53,jjeon_ki__,262
2026-05-06T20:14:53,narae_is_consulting,5787
